,Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
344,Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,50,42.0,11.4,22.0,White,Sapphire,"Date, Moonphase",42.0,3900.0
346,Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100,41.0,11.8,20.0,Blue,Sapphire,Date,70.0,9500.0
347,Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50,42.0,13.75,20.0,Black,Hesalite,"Chronograph, Tachymeter",48.0,5350.0
348,Breitling,Superocean Heritage,Stainless Steel,Stainless Steel,Automatic,200,44.0,14.2,22.0,Blue,Sapphire,Date,38.0,3250.0
350,Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100,39.0,14.0,22.0,Blue,Sapphire,Chronograph,40.0,4950.0
351,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50,40.0,8.5,20.0,Silver,Sapphire,"Date, Moonphase",70.0,6500.0
353,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Blue,Sapphire,Date,60.0,27000.0
354,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,40.4,12.3,20.0,Silver,Sapphire,Chronograph,46.0,7250.0
355,Patek Philippe,Calatrava,18K White Gold,Leather,Manual,30,38.0,8.25,20.0,White,Sapphire,None,44.0,25000.0
356,Bell & Ross,BR 03-92,Ceramic,Rubber,Automatic,100,42.0,9.8,24.0,Black,Sapphire,None,40.0,3800.0
357,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,36.0,12.5,20.0,Silver,Sapphire,"Date, Cyclops Lens",70.0,8000.0
358,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50,42.0,14.3,20.0,Black,Hesalite,"Chronograph, Tachymeter",48.0,4500.0
359,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,20.0,Blue,Sapphire,Date,45.0,52000.0
360,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Blue,Sapphire,Date,60.0,28500.0
361,IWC,Pilot's Watch Mark,Stainless Steel,Leather,Automatic,60,41.0,12.5,20.0,Black,Sapphire,"Date, Chronograph",44.0,6800.0
362,Hublot,Big Bang,Ceramic,Rubber,Automatic,100,42.0,14.1,24.0,Black,Sapphire,Chronograph,72.0,16000.0
364,Breguet,Classique,18K White Gold,Leather,Automatic,30,39.0,8.65,20.0,Silver,Sapphire,None,40.0,19000.0
366,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,25.0,Black,Sapphire,Date,46.0,8000.0
367,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30,43.0,12.48,23.0,Silver,Sapphire,None,68.0,10000.0
368,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100,40.0,12.5,20.0,Black,Sapphire,"Date, GMT",70.0,9700.0
369,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,21.0,Blue,Sapphire,Date,45.0,29800.0
370,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50,42.0,14.3,20.0,Black,Hesalite,Chronograph,48.0,5350.0
371,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,Date,60.0,18500.0
372,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,43.0,15.0,22.0,Black,Sapphire,Date,72.0,4950.0
373,Zenith,El Primero,Stainless Steel,Leather,Automatic,100,42.0,12.75,20.0,White,Sapphire,"Chronograph, Date",50.0,7900.0
375,Hublot,Big Bang,Titanium,Rubber,Automatic,100,44.0,14.5,24.0,Black,Sapphire,"Chronograph, Date",72.0,16000.0
376,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,22.0,Blue,Sapphire,Date,54.0,12800.0
377,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50,40.0,8.78,20.0,Silver,Sapphire,"Date, Power Reserve Indicator",70.0,8500.0
378,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Blue,Sapphire,"Date, Power Reserve Indicator",42.0,8500.0
380,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,20.0,Blue,Sapphire,Date,45.0,39000.0
381,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,37.0,9.8,20.0,Blue,Sapphire,Date,40.0,19500.0
382,Hublot,Big Bang,Titanium,Rubber,Automatic,100,44.0,14.5,24.0,Black,Sapphire,"Date, Chronograph",72.0,13000.0
383,Zenith,El Primero,Stainless Steel,Leather,Automatic,100,42.0,12.75,20.0,White,Sapphire,"Date, Chronograph, Moon Phase",50.0,7500.0
384,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.0,11.0,22.0,Blue,Sapphire,"Date, World Time",60.0,23000.0
385,Breguet,Classique,18K White Gold,Leather,Manual,30,40.0,6.95,20.0,Silver,Sapphire,None,50.0,24000.0
387,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,44.0,14.45,22.0,Black,Sapphire,"Date, Chronograph",42.0,6000.0
388,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,36.0,12.0,20.0,Silver,Sapphire,Date,70.0,7500.0
389,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50,42.0,13.7,20.0,Black,Sapphire,"Chronograph, Tachymeter",60.0,6500.0
391,Breitling,Superocean,Stainless Steel,Rubber,Automatic,200,44.0,14.2,22.0,Black,Sapphire,Date,42.0,4500.0
393,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50,40.0,8.8,20.0,Silver,Sapphire,"Date, Power Reserve",70.0,6000.0
394,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100,40.0,12.5,20.0,Black,Sapphire,Dual Time Zone,70.0,9500.0
395,Omega,Constellation,Stainless Steel,Stainless Steel,Automatic,100,39.0,10.6,20.0,Black,Sapphire,Date,50.0,4800.0
396,Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100,39.0,14.5,22.0,Blue,Sapphire,Chronograph,40.0,5200.0
397,Breitling,Chronomat,Stainless Steel,Stainless Steel,Automatic,200,44.0,16.95,22.0,Blue,Sapphire,"Chronograph, Date",70.0,6900.0
398,watchtier,Santos,Stainless Steel,Stainless Steel,Automatic,100,35.1,8.83,18.0,Silver,Sapphire,Date,42.0,5500.0
399,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100,41.0,11.7,20.0,White,Sapphire,Date,70.0,8000.0
400,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,21.0,Blue,Sapphire,Date,45.0,40000.0
401,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,37.0,9.0,16.0,Blue,Sapphire,Date,60.0,18000.0
402,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,40.4,12.3,22.0,White,Sapphire,Date,60.0,7500.0
403,Hublot,Big Bang,Titanium,Rubber,Automatic,100,44.0,14.5,25.0,Black,Sapphire,Chronograph,72.0,14000.0
405,Breguet,Classique,Rose Gold,Leather,Manual,30,40.0,6.8,20.0,Silver,Sapphire,None,55.0,25000.0
406,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50,39.0,7.8,20.0,Silver,Sapphire,None,70.0,6500.0
407,Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,100,42.0,12.75,20.0,Blue,Sapphire,Chronograph,50.0,7000.0
410,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100,40.0,12.1,20.0,Black,Sapphire,"GMT, Date",70.0,9450.0
411,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.8,8.3,21.0,Blue,Sapphire,Date,55.0,29800.0
412,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,"Date, Chronograph",50.0,22300.0
413,Hublot,Classic Fusion,Titanium,Rubber,Automatic,50,42.0,10.6,22.0,Black,Sapphire,Date,42.0,8100.0
414,IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60,40.0,10.8,20.0,Black,Sapphire,Date,42.0,3900.0
415,A. Lange & Söhne,Saxonia,Rose Gold,Leather,Manual,30,38.5,7.8,18.0,Silver,Sapphire,None,72.0,23300.0
416,Breguet,Classique,Rose Gold,Leather,Automatic,30,39.0,8.65,20.0,Silver,Sapphire,Date,65.0,23200.0
417,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50,44.0,14.4,22.0,Black,Sapphire,"Date, Chronograph, Tachymeter",42.0,6300.0
418,Zenith,El Primero,Stainless Steel,Leather,Automatic,100,38.0,12.45,20.0,White,Sapphire,"Date, Chronograph",50.0,5600.0
419,Panerai,Luminor,Titanium,Leather,Manual,100,44.0,13.05,24.0,Black,Sapphire,None,56.0,6900.0
420,Rolex,Daytona,Stainless Steel,Stainless Steel,Automatic,100,40.0,12.4,20.0,White,Sapphire,Chronograph,72.0,13500.0
421,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50,42.0,14.3,20.0,Black,Hesalite,Chronograph,48.0,4500.0
422,watchtier,Santos,Stainless Steel,Leather,Automatic,100,39.8,9.08,20.0,Silver,Sapphire,Date,42.0,6600.0
425,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50,40.0,7.45,20.0,Silver,Sapphire,None,43.0,6300.0
426,Patek Philippe,Calatrava,18k Rose Gold,Leather,Manual,30,38.0,7.68,19.0,White,Sapphire,None,44.0,22900.0
427,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Black,Sapphire,Date,60.0,22500.0
428,Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,100,42.0,12.75,20.0,Blue,Sapphire,Chronograph,50.0,6900.0
429,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.0,11.0,20.0,Black,Sapphire,"Date, World Time",60.0,20200.0
430,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,40.4,12.6,20.0,Silver,Sapphire,None,44.0,7600.0
432,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,21.0,Blue,Sapphire,Date,45.0,34000.0
435,Hublot,Big Bang,Ceramic,Rubber,Automatic,100,41.0,14.6,20.0,Black,Sapphire,Chronograph,42.0,14000.0
436,Breguet,Classique,18k Rose Gold,Leather,Manual,30,39.0,10.2,22.0,Silver,Sapphire,None,40.0,26000.0
437,Zenith,El Primero,Stainless Steel,Leather,Automatic,100,38.0,12.5,20.0,Silver,Sapphire,Chronograph,50.0,7000.0
439,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,22.0,Blue,Sapphire,Date,54.0,11500.0
440,Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,100,42.2,12.6,20.0,Blue,Sapphire,Date,60.0,7500.0
441,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.5,11.0,22.0,Silver,Sapphire,Date,60.0,20000.0
442,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.0,8.3,20.0,Blue,Sapphire,Date,45.0,26000.0
443,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Grey,Sapphire,Date,60.0,17000.0
444,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,42.3,14.2,22.0,White,Sapphire,Chronograph,46.0,7800.0
445,A. Lange & Söhne,Saxonia,18k Rose Gold,Leather,Manual,30,37.0,7.5,18.0,Silver,Sapphire,None,45.0,17500.0
446,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150,42.5,13.7,22.0,Blue,Sapphire,Date,40.0,20000.0
447,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,41.0,10.88,26.0,Black,Sapphire,Chronograph,46.0,12000.0
448,Zenith,El Primero,Stainless Steel,Leather,Automatic,100,42.0,12.75,22.0,Silver,Sapphire,Chronograph,50.0,7500.0
450,Hublot,Classic Fusion,Titanium,Rubber,Automatic,50,45.0,10.95,22.0,Blue,Sapphire,None,42.0,9500.0
451,Breguet,Classique,18k White Gold,Leather,Manual,30,38.0,8.25,20.0,Silver,Sapphire,None,40.0,22000.0
452,Piaget,Polo,Stainless Steel,Stainless Steel,Automatic,100,42.0,9.4,22.0,Blue,Sapphire,Date,44.0,10500.0
453,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,22.0,Blue,Sapphire,Date,45.0,29000.0
454,Audemars Piguet,Royal Oak,Rose Gold,Leather,Automatic,50,37.0,9.8,20.0,Black,Sapphire,Date,60.0,38500.0
455,Hublot,Classic Fusion,Titanium,Rubber,Automatic,50,42.0,9.85,22.0,Blue,Sapphire,None,42.0,7500.0
456,Breguet,Classique,Rose Gold,Leather,Automatic,30,39.0,10.2,20.0,Silver,Sapphire,None,65.0,25000.0
457,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,41.0,15.3,20.0,Black,Sapphire,Date,42.0,5900.0
459,Zenith,El Primero,Stainless Steel,Leather,Automatic,100,38.0,12.45,20.0,Silver,Sapphire,Chronograph,50.0,6200.0
460,Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,50,42.0,13.07,20.0,Black,Sapphire,Chronograph,48.0,6800.0
461,Vacheron Constantin,Patrimony,White Gold,Leather,Manual,30,40.0,6.79,20.0,Silver,Sapphire,None,65.0,28000.0
463,Tudor,Black Bay,Stainless Steel,NATO Strap,Automatic,200,41.0,11.9,22.0,Black,Sapphire,None,70.0,3500.0
465,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,41.0,12.3,22.0,Blue,Sapphire,None,60.0,7900.0
466,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.0,8.3,22.0,Blue,Sapphire,Date,45.0,36000.0
469,Breguet,Classique,18K Yellow Gold,Leather,Automatic,30,39.0,10.2,20.0,Silver,Sapphire,Date,38.0,26000.0
470,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50,42.0,13.5,22.0,Blue,Sapphire,Chronograph,50.0,6500.0
471,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,38.0,10.88,20.0,Blue,Sapphire,Date,54.0,12000.0
472,Hublot,Big Bang,Titanium,Rubber,Automatic,100,44.0,14.5,24.0,Black,Sapphire,Chronograph,72.0,18500.0
473,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30,43.0,11.48,23.0,Black,Sapphire,None,68.0,9500.0
474,Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,50,39.0,9.9,19.0,Silver,Sapphire,Date,42.0,3500.0
475,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100,40.0,12.5,20.0,Black,Sapphire,"GMT, Date",70.0,9900.0
476,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50,42.0,14.3,20.0,Black,Hesalite,Chronograph,48.0,4300.0
477,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,40.4,12.3,20.0,White,Sapphire,None,60.0,7500.0
478,Hublot,Big Bang,Ceramic,Rubber,Automatic,100,44.0,14.5,24.0,Black,Sapphire,Chronograph,72.0,15500.0
480,Patek Philippe,Calatrava,White Gold,Leather,Automatic,30,37.0,8.5,18.0,White,Sapphire,Date,45.0,25000.0
481,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Blue,Sapphire,Date,60.0,19500.0
482,Vacheron Constantin,Patrimony,Rose Gold,Leather,Automatic,30,40.0,6.79,20.0,White,Sapphire,None,40.0,15000.0
484,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100,42.0,10.88,25.0,Blue,Sapphire,None,54.0,7500.0
485,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30,43.0,11.48,22.0,White,Sapphire,None,68.0,8500.0
486,Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100,36.0,12.0,20.0,Blue,Sapphire,Date,70.0,7650.0
487,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50,42.0,14.3,20.0,Black,Hesalite,Chronograph,48.0,5200.0
488,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,20.0,Blue,Sapphire,"Date, Chronograph",55.0,67000.0
489,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,9.8,20.0,Blue,Sapphire,"Date, Power Reserve",60.0,25000.0
490,watchtier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30,36.6,12.05,18.0,Silver,Sapphire,Date,42.0,4700.0
491,IWC,Portugieser,Stainless Steel,Leather,Automatic,30,42.3,14.2,22.0,Blue,Sapphire,None,60.0,9100.0
492,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50,39.0,8.5,20.0,Silver,Sapphire,"Date, Moonphase",70.0,8200.0
494,Breguet,Classique,18K Rose Gold,Leather,Automatic,30,39.0,9.9,22.0,White,Sapphire,"Date, Moonphase",65.0,27900.0
495,Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,50,42.0,12.67,20.0,Black,Sapphire,"Chronograph, Date",42.0,6500.0
496,Seiko,Prospex,Stainless Steel,Silicone,Automatic,200,44.3,13.1,22.0,Black,Hardlex,"Date, GMT",50.0,1200.0
498,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60,39.0,10.86,20.0,Black,Sapphire,Date,42.0,4500.0
500,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120,40.5,8.3,20.0,Blue,Sapphire,Date,45.0,35000.0
501,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50,41.0,10.4,20.0,Black,Sapphire,Date,60.0,24000.0
502,Breguet,Classique,18k Rose Gold,Leather,Automatic,30,38.5,8.25,20.0,White,Sapphire,Date,38.0,21500.0
504,Longines,Master Collection,Stainless Steel,Leather,Automatic,30,38.5,9.7,20.0,Blue,Sapphire,Date,64.0,1800.0
505,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150,41.5,11.0,22.0,Blue,Sapphire,Date,40.0,19000.0
506,Frederique Constant,Classics,Stainless Steel,Leather,Automatic,50,40.0,10.6,20.0,Silver,Sapphire,Date,38.0,1200.0
